Year,Sex,State,Number of students at primary level
2009,Male,W.P. Kuala Lumpur,74731
2009,Male,W.P. Labuan,4276
2009,Male,W.P. Putrajaya,3757
2009,Female,Malaysia,1511940
2009,Female,Johor,184722
2009,Female,Kedah,116390
2009,Female,Kelantan,107815
2009,Female,Melaka,44893
2009,Female,Negeri Sembilan,57042
2009,Female,Pahang,84701
2009,Female,Perak,130793
2009,Female,Perlis,13723
2009,Female,Pulau Pinang,76682
2009,Female,Sabah ,141919
2009,Female,Sarawak,140829
2009,Female,Selangor,262416
2009,Female,Terengganu,70934
2009,Female,W.P. Kuala Lumpur,71378
2009,Female,W.P. Labuan,4066
2009,Female,W.P. Putrajaya,3637
2010,Male,Malaysia,1575704
2010,Male,Johor,192748
2010,Male,Kedah,119321
2010,Male,Kelantan,110654
2010,Male,Melaka,47181
2010,Male,Negeri Sembilan,59112
2010,Male,Pahang,88075
2010,Male,Perak,132895
2010,Male,Perlis,13979
2010,Male,Pulau Pinang,78169
2010,Male,Sabah ,151337
2010,Male,Sarawak,149048
2010,Male,Selangor,278506
2010,Male,Terengganu,73319
2010,Male,W.P. Kuala Lumpur,72845
2010,Male,W.P. Labuan,4325
2010,Male,W.P. Putrajaya,4190
2010,Female,Malaysia,1487270
2010,Female,Johor,181184
2010,Female,Kedah,113117
2010,Female,Kelantan,104889
2010,Female,Melaka,44163
2010,Female,Negeri Sembilan,56059
2010,Female,Pahang,83125
2010,Female,Perak,126431
2010,Female,Perlis,13402
2010,Female,Pulau Pinang,74986
2010,Female,Sabah ,142042
2010,Female,Sarawak,139108
2010,Female,Selangor,261755
2010,Female,Terengganu,69495
2010,Female,W.P. Kuala Lumpur,69388
2010,Female,W.P. Labuan,4062
2010,Female,W.P. Putrajaya,4064
2011,Male,Malaysia,1562441
2011,Male,Johor,190517
2011,Male,Kedah,116158
2011,Male,Kelantan,108017
2011,Male,Melaka,46791
2011,Male,Negeri Sembilan,58352
2011,Male,Pahang,87766
2011,Male,Perak,128984
2011,Male,Perlis,13844
2011,Male,Pulau Pinang,77406
2011,Male,Sabah ,151890
2011,Male,Sarawak,149550
2011,Male,Selangor,280100
2011,Male,Terengganu,72106
2011,Male,W.P. Kuala Lumpur,71844
2011,Male,W.P. Labuan,4386
2011,Male,W.P. Putrajaya,4730
2011,Female,Malaysia,1476521
2011,Female,Johor,179271
2011,Female,Kedah,110674
2011,Female,Kelantan,103135
2011,Female,Melaka,43731
2011,Female,Negeri Sembilan,55078
2011,Female,Pahang,82612
2011,Female,Perak,122892
2011,Female,Perlis,13173
2011,Female,Pulau Pinang,74030
2011,Female,Sabah ,142848
2011,Female,Sarawak,139765
2011,Female,Selangor,263927
2011,Female,Terengganu,68381
2011,Female,W.P. Kuala Lumpur,68439
2011,Female,W.P. Labuan,4091
2011,Female,W.P. Putrajaya,4474
2012,Male,Malaysia,1530141
2012,Male,Johor,187354
2012,Male,Kedah,112693
2012,Male,Kelantan,105412
2012,Male,Melaka,45849
2012,Male,Negeri Sembilan,57577
2012,Male,Pahang,87049
2012,Male,Perak,124790
2012,Male,Perlis,13566
2012,Male,Pulau Pinang,76230
2012,Male,Sabah ,151666
2012,Male,Sarawak,147884
2012,Male,Selangor,279490
2012,Male,Terengganu,70611
2012,Male,W.P. Kuala Lumpur,60576
2012,Male,W.P. Labuan,4317
2012,Male,W.P. Putrajaya,5077
2012,Female,Malaysia,1459311
2012,Female,Johor,176703
2012,Female,Kedah,107683
2012,Female,Kelantan,101163
2012,Female,Melaka,43408
2012,Female,Negeri Sembilan,54682
2012,Female,Pahang,82043
2012,Female,Perak,119215
2012,Female,Perlis,12954
2012,Female,Pulau Pinang,72567
2012,Female,Sabah ,143036
2012,Female,Sarawak,138462
2012,Female,Selangor,263455
2012,Female,Terengganu,67458
2012,Female,W.P. Kuala Lumpur,67513
2012,Female,W.P. Labuan,4081
2012,Female,W.P. Putrajaya,4888
2013,Male,Malaysia,1508220
2013,Male,Johor,183482
2013,Male,Kedah,109090
2013,Male,Kelantan,101971
2013,Male,Melaka,44717
2013,Male,Negeri Sembilan,56483
2013,Male,Pahang,84969
2013,Male,Perak,119926
2013,Male,Perlis,13300
2013,Male,Pulau Pinang,74037
2013,Male,Sabah ,150908
2013,Male,Sarawak,145000
2013,Male,Selangor,276301
2013,Male,Terengganu,69417
2013,Male,W.P. Kuala Lumpur,68648
2013,Male,W.P. Labuan,4424
2013,Male,W.P. Putrajaya,5547
2013,Female,Malaysia,1426941
2013,Female,Johor,173033
2013,Female,Kedah,104051
2013,Female,Kelantan,97701
2013,Female,Melaka,42393
2013,Female,Negeri Sembilan,53323
2013,Female,Pahang,80349
2013,Female,Perak,114041
2013,Female,Perlis,12742
2013,Female,Pulau Pinang,70265
2013,Female,Sabah ,142020
2013,Female,Sarawak,135598
2013,Female,Selangor,260157
2013,Female,Terengganu,65932
2013,Female,W.P. Kuala Lumpur,65889
2013,Female,W.P. Labuan,4152
2013,Female,W.P. Putrajaya,5295
2020,Male,Malaysia,1406511
2020,Male,Johor,170166
2020,Male,Kedah,96275
2020,Male,Kelantan,87073
2020,Male,Melaka,43080
2020,Male,Negeri Sembilan,53946
2020,Male,Pahang,75751
2020,Male,Pulau Pinang,66946
2020,Male,Perak,103170
2020,Male,Perlis,12267
2020,Male,Selangor ,274429
2020,Male,Terengganu,66654
2020,Male,Sabah ,149491
2020,Male,Sarawak,125314
2020,Male,W.P. Kuala Lumpur,66743
2020,Male,W.P. Labuan,4989
2020,Male,W.P. Putrajaya,10217
2020,Female,Malaysia,1335484
2020,Female,Johor,161024
2020,Female,Kedah,92895
2020,Female,Kelantan,83601
2020,Female,Melaka,41094
2020,Female,Negeri Sembilan,51250
2020,Female,Pahang,72013
2020,Female,Pulau Pinang,63767
2020,Female,Perak,97444
2020,Female,Perlis,11462
2020,Female,Selangor ,261057
2020,Female,Terengganu,63554
2020,Female,Sabah ,140037
2020,Female,Sarawak,116944
2020,Female,W.P. Kuala Lumpur,64722
2020,Female,W.P. Labuan,4714
2020,Female,W.P. Putrajaya,9906
2021,Male,Malaysia,1419336
2021,Male,Johor,170636
2021,Male,Kedah,96543
